# Warning! Next sybols will be ignored :  ,.!?()[]:;"
# Warning! All letters will be in lower-case
пфуль,26
работу,26
свобода,26
случаю,26
слышны,26
совершилось,26
сражений,26
старому,26
стоявший,26
странное,26
такою,26
уехать,26
уйти,26
умереть,26
церкви,26
часы,26
барина,25
бенигсена,25
благородие,25
бородинского,25
веселым,25
видишь,25
вишь,25
влево,25
воспоминание,25
выехал,25
выстрелов,25
двигались,25
движении,25
де,25
действовать,25
делу,25
добра,25
долг,25
европы,25
женою,25
жерков,25
заметно,25
земли,25
имело,25
имею,25
испытал,25
капитана,25
командиру,25
кресле,25
криком,25
кричала,25
кутузовым,25
лежали,25
мишо,25
народу,25
началось,25
обещал,25
общие,25
оставались,25
оставил,25
осталась,25
остались,25
отечества,25
отсутствие,25
писала,25
писать,25
поднялась,25
пожалуйте,25
половины,25
положил,25
презрительно,25
приказ,25
прислушиваясь,25
приходили,25
проводил,25
прошло,25
путь,25
разговаривая,25
рана,25
россия,25
самим,25
сели,25
силе,25
службе,25
случай,25
смел,25
смеха,25
солнца,25
справа,25
среди,25
убит,25
ужаса,25
б,24
благодарю,24
благодаря,24
болконскому,24
больно,24
бывал,24
воду,24
воды,24
волнение,24
ворота,24
вскоре,24
глядел,24
девушки,24
душой,24
дядюшки,24
ездить,24
ехали,24
заговорила,24
закон,24
закрыв,24
знаем,24
идите,24
известием,24
казаков,24
казалась,24
кивнул,24
княгини,24
король,24
костров,24
лагерь,24
лоб,24
масон,24
мнению,24
неделю,24
неприятелем,24
ногой,24
остановить,24
охотник,24
первых,24
переднюю,24
петр,24
петь,24
пистолет,24
помощь,24
представление,24
привычке,24
приехав,24
пришло,24
приятное,24
рукою,24
русская,24
рядах,24
связь,24
слушала,24
суть,24
убил,24
угол,24
ужасом,24
улыбался,24
улыбку,24
халате,24
чистое,24
шагах,24
эскадрон,24
ядро,24
бровями,23
бросилась,23
бумагу,23
вашему,23
вели,23
всякой,23
входя,23
выстрелы,23
высшей,23
главной,23
говор,23
дамы,23
делами,23
доволен,23
дурного,23
естественно,23
замечая,23
имеют,23
книгу,23
которою,23
кошелек,23
лежало,23
лежит,23
мавра,23
можешь,23
молчания,23
момент,23
намерен,23
начальство,23
недавно,23
недалеко,23
неохотно,23
нехорошо,23
никакой,23
обо,23
огромный,23
окну,23
оставалось,23
пальцами,23
папа,23
первом,23
подобное,23
получить,23
помочь,23
помощи,23
посмотрите,23
принимать,23
приходило,23
прочь,23
рассказы,23
русскими,23
сделает,23
семь,23
словам,23
снег,23
снял,23
старых,23
строгим,23
существует,23
сущности,23
тени,23
торжественно,23
тушина,23
улыбки,23
усами,23
хотят,23
черные,23
шляпу,23
бал,22
белые,22
беспокойно,22
боли,22
боссе,22
бросился,22
вашим,22
видны,22
властью,22
влиянием,22
воздух,22
вопросом,22
главнокомандующему,22
десаль,22
добрый,22
дуняша,22
залы,22
занимали,22
занят,22
заняты,22
иваныч,22
играть,22
идут,22
избе,22
исполнено,22
испуганным,22
какого,22
квартире,22
костра,22
крайней,22
кузминишна,22
курагин,22
кучер,22
лаврушка,22
ловко,22
мгновенье,22
миллионы,22
министр,22
наблюдения,22
называли,22
насчет,22
начальства,22
нечаянно,22
новых,22
нужным,22
оглядывая,22
опасность,22
остается,22
осторожно,22
отворилась,22
отказаться,22
офицерами,22
пить,22
пишет,22
пленные,22
повернулся,22
подходил,22
покачал,22
последнего,22
постой,22
потерял,22
превосходительство,22
прежней,22
приедет,22
приезд,22
приказанию,22
провел,22
проходили,22
прощайте,22
раненые,22
само,22
свободу,22
сени,22
сидит,22
слыхал,22
слышался,22
смоленск,22
соображения,22
старалась,22
старались,22
страдания,22
стрелять,22
счастья,22
товарищей,22
толпой,22
тою,22
третьего,22
убитых,22
удержаться,22
участия,22
цыпочках,22
человеческого,22
шиншин,22
экипажи,22
ядра,22
андрее,21
балагана,21
барин,21
барклай,21
безухого,21
